Ranking,User,Model,Results,Mean Reward,Std Reward
1,sb3,sb3/tqc-BipedalWalker-v3,334.45000000000005,334.73,0.28
2,araffin,araffin/tqc-BipedalWalker-v3,332.40999999999997,332.83,0.42
3,MadFritz,MadFritz/tqc-BipedalWalker-v3,328.78000000000003,329.11,0.33
4,qgallouedec,qgallouedec/sac-BipedalWalker-v3-2067502711,321.38,321.84,0.46
5,OpenDILabCommunity,OpenDILabCommunity/BipedalWalker-v3-TD3,320.32,320.88,0.56
6,MadFritz,MadFritz/ppo-BipedalWalker-v3,319.96,320.69,0.73
7,sb3,sb3/td3-BipedalWalker-v3,318.13,318.83,0.7
8,MadFritz,MadFritz/sac-BipedalWalker-v3,318.07000000000005,318.72,0.65
9,OpenDILabCommunity,OpenDILabCommunity/BipedalWalker-v3-SAC,315.35999999999996,315.77,0.41
10,beachcities,beachcities/ppo-BipedalWalker-v3-A100-SOTA,313.06,314.47,1.41
11,MadFritz,MadFritz/ars-BipedalWalker-v3,312.4,329.08,16.68
12,sgoodfriend,sgoodfriend/ppo-BipedalWalker-v3,311.69,312.94,1.25
13,meln1k,meln1k/ppo-BipedalWalker-v3,310.83,312.05,1.22
14,dyingc,dyingc/BipedalWalker-v3,309.37,311.65,2.28
15,frankcholula,frankcholula/td3-BipedalWalker-v3,308.45,309.27,0.82
16,MadFritz,MadFritz/td3-BipedalWalker-v3,305.59000000000003,306.79,1.2
17,format37,format37/BipedalWalker-v3,304.97,305.56,0.59
18,satcos,satcos/PPO-BipedalWalker-v3,304.76,307.55,2.79
19,DBusAI,DBusAI/PPO-BipedalWalker-v3-v2_1_same_submit,302.59,304.88,2.29
20,vukpetar,vukpetar/ppo-BipedalWalker-v3-v1,302.11,302.93,0.82
21,vukpetar,vukpetar/ppo-BipedalWalker-v3,302.07,302.55,0.48
22,ByteMeHarder-404,ByteMeHarder-404/bipedalwalker-ppo1,302.03999999999996,302.46,0.42
23,DBusAI,DBusAI/PPO-BipedalWalker-v3-v2,301.57000000000005,303.47,1.9
24,DBusAI,DBusAI/PPO-BipedalWalker-v3,301.26,303.05,1.79
25,SuperSecureHuman,SuperSecureHuman/BipedalWalker-v3-TD3,301.12,302.94,1.82
26,UHS,UHS/PPO_Bipedal_Walker_Flat_Optimised,300.97,302.24,1.27
27,dlantonia,dlantonia/ppo-BipedalWalker-v3,300.07,301.0,0.93
28,sb3,sb3/sac-BipedalWalker-v3,299.77,300.53,0.76
29,sb3,sb3/a2c-BipedalWalker-v3,299.41,300.85,1.44
30,sgoodfriend,sgoodfriend/a2c-BipedalWalker-v3,297.35,297.94,0.59
31,Subcon,Subcon/ppo-BipedalWalker-v3,296.28000000000003,297.11,0.83
32,daspartho,daspartho/ppo_walker,295.45,297.59,2.14
33,Nnarruqt,Nnarruqt/WalkerV3,291.33,293.33,2.0
34,sb3,sb3/ppo-BipedalWalker-v3,286.07,288.3,2.23
35,qgallouedec,qgallouedec/a2c-BipedalWalker-v3-3269560138,280.3,281.54,1.24
36,OpenDILabCommunity,OpenDILabCommunity/BipedalWalker-v3-A2C,277.49,277.68,0.19
37,OpenDILabCommunity,OpenDILabCommunity/BipedalWalker-v3-PPO,270.54,285.41,14.87
38,frankcholula,frankcholula/ppo-BipedalWalker-v3,269.79,271.87,2.08
39,chirbard,chirbard/ppo-BipedalWalker-v3,261.89,264.5,2.61
40,sgoodfriend,sgoodfriend/vpg-BipedalWalker-v3,229.75,242.02,12.27
41,dlantonia,dlantonia/BipedalWalker-v3,222.91,271.07,48.16
42,lazyrama,lazyrama/ppo-BipedalWalker-v3,218.91,225.84,6.93
43,Theaveas,Theaveas/ppo-BipedalWalker-v3,212.95,279.37,66.42
44,jayjay19630,jayjay19630/ppo-bipedalwalker-v3,209.28,224.54,15.26
45,jackoyoungblood,jackoyoungblood/ddpg-BipedalWalker-v3,205.8,287.74,81.94
46,Zarmonela,Zarmonela/ppo-BipedalWalker-v3,205.14000000000001,208.46,3.32
47,frankcholula,frankcholula/a2c-BipedalWalker-v3,198.72000000000003,285.1,86.38
48,karmall0xc,karmall0xc/ppo-bipedal-v3,195.31,202.02,6.71
49,satcos,satcos/DT-BipedalWalker-v3,191.82,196.2,4.38
50,Chris1,Chris1/ppo_lstm-BipedalWalker-v3-1,157.58,240.11,82.53
51,qgallouedec,qgallouedec/a2c-BipedalWalker-v3-1699815716,155.57999999999998,252.35,96.77
52,MattStammers,MattStammers/BipedalWalker-v3,128.72,135.58,6.86
53,bvk1ng,bvk1ng/bipedal_walker_ppo,127.33,209.63,82.3
54,matamaki,matamaki/ppo-BipedalWalker-v3,126.57,192.98,66.41
55,RayanRen,RayanRen/ddpg-BipeadlWalker-v3,121.66000000000001,223.18,101.52
56,Alian3785,Alian3785/TEST2ppo-BipedalWalker-v3,119.10000000000001,126.62,7.52
57,koopatroopa787,koopatroopa787/ppo-BipedalWalker-v4,117.65,209.21,91.56
58,OpenDILabCommunity,OpenDILabCommunity/BipedalWalker-v3-DDPG,112.76999999999998,225.39,112.62
59,DBusAI,DBusAI/PPO-BipedalWalker-v3-v1,112.13,226.04,113.91
60,huph22,huph22/BipedalWalker-v3,104.59,109.44,4.85
61,mindwrapped,mindwrapped/ppo-BipedalWalker-v3,93.77999999999999,185.82,92.04
62,BarrelAcorn,BarrelAcorn/ppo-BipedalWalker-v3,72.87,140.46,67.59
63,zezafa,zezafa/bipedalwalker-v3,71.14,80.95,9.81
64,MattStammers,MattStammers/PPO_Bipedal_Hardcore_Trained_Flat_Env,56.52000000000001,200.22,143.7
65,Kenemo,Kenemo/ppo-BipedalWalker-v3,54.29999999999998,200.13,145.83
66,nadmozg,nadmozg/ppo-BipedalWalker-v3,35.96000000000001,152.15,116.19
67,sb3,sb3/trpo-BipedalWalker-v3,35.46000000000001,173.63,138.17
68,kitsonr,kitsonr/ppo-BipedalWalker-v3,31.570000000000007,71.26,39.69
69,wooii,wooii/PPO-BipedalWalker-v3,13.949999999999989,169.5,155.55
70,qgallouedec,qgallouedec/td3-BipedalWalker-v3-803448186,7.200000000000017,195.93,188.73
71,hamzasheedi,hamzasheedi/humanoid9,0.0,-1000.0,-1000.0
72,hamzasheedi,hamzasheedi/humanoid8,0.0,-1000.0,-1000.0
73,hamzasheedi,hamzasheedi/humanoid7,0.0,-1000.0,-1000.0
74,hamzasheedi,hamzasheedi/humanoid6,0.0,-1000.0,-1000.0
75,hamzasheedi,hamzasheedi/humanoid5,0.0,-1000.0,-1000.0
76,hamzasheedi,hamzasheedi/humanoid4,0.0,-1000.0,-1000.0
77,hamzasheedi,hamzasheedi/humanoid3,0.0,-1000.0,-1000.0
78,hamzasheedi,hamzasheedi/humanoid24,0.0,-1000.0,-1000.0
79,hamzasheedi,hamzasheedi/humanoid23,0.0,-1000.0,-1000.0
80,hamzasheedi,hamzasheedi/humanoid22,0.0,-1000.0,-1000.0
81,hamzasheedi,hamzasheedi/humanoid21,0.0,-1000.0,-1000.0
82,hamzasheedi,hamzasheedi/humanoid20,0.0,-1000.0,-1000.0
83,hamzasheedi,hamzasheedi/humanoid2,0.0,-1000.0,-1000.0
84,hamzasheedi,hamzasheedi/humanoid19,0.0,-1000.0,-1000.0
85,hamzasheedi,hamzasheedi/humanoid18,0.0,-1000.0,-1000.0
86,hamzasheedi,hamzasheedi/humanoid17,0.0,-1000.0,-1000.0
87,hamzasheedi,hamzasheedi/humanoid15,0.0,-1000.0,-1000.0
88,hamzasheedi,hamzasheedi/humanoid14,0.0,-1000.0,-1000.0
89,hamzasheedi,hamzasheedi/humanoid13,0.0,-1000.0,-1000.0
90,hamzasheedi,hamzasheedi/humanoid12,0.0,-1000.0,-1000.0
91,hamzasheedi,hamzasheedi/humanoid11,0.0,-1000.0,-1000.0
92,hamzasheedi,hamzasheedi/humanoid10,0.0,-1000.0,-1000.0
93,hamzasheedi,hamzasheedi/humanoid1,0.0,-1000.0,-1000.0
94,hamzasheedi,hamzasheedi/humanoid-robotics,0.0,-1000.0,-1000.0
95,hamzasheedi,hamzasheedi/humanoid,0.0,-1000.0,-1000.0
96,hamzasheedi,hamzasheedi/4,0.0,-1000.0,-1000.0
97,Vibudhbh,Vibudhbh/bipedal-walker-ppo,0.0,-1000.0,-1000.0
98,Tanaybh,Tanaybh/bipedal-walker-ppo,0.0,-1000.0,-1000.0
99,MattStammers,MattStammers/Bipedal_Walker_v3_Optimised-take1,-2.730000000000004,109.5,112.23
100,Rinnnt,Rinnnt/ppo-BipedalWalker-v3,-9.180000000000007,112.36,121.54
101,sb3,sb3/ddpg-BipedalWalker-v3,-11.110000000000014,153.32,164.43
102,qgallouedec,qgallouedec/ars-BipedalWalker-v3-2171650094,-18.28,89.47,107.75
103,MattStammers,MattStammers/ppo-Bipedal_Walker_v3-HardcoreTrained-take2,-37.51,13.49,51.0
104,MattStammers,MattStammers/td3-Bipedal_Walker_v3-HardcoreTrained,-41.489999999999995,50.22,91.71
105,ycchen233,ycchen233/ppo-test1,-57.879999999999995,-49.29,8.59
106,qgallouedec,qgallouedec/ars-BipedalWalker-v3-3141876264,-59.31,-41.95,17.36
107,MattStammers,MattStammers/ppo-Bipedal_Walker_v3-HardcoreTrained,-70.06,-14.3,55.76
108,coyotespike,coyotespike/lunarlanderV2,-71.79,-22.95,48.84
109,MattStammers,MattStammers/Bipedal_Faller_v3,-89.82,-86.71,3.11
110,MattStammers,MattStammers/SAC-Bipedal_Walker_v3-HardcoreTrained,-91.52,-31.49,60.03
111,koopatroopa787,koopatroopa787/ppo-BipedalWalker-v3,-92.61,-74.7,17.91
112,Ahmerraza12,Ahmerraza12/ppo-BipedalWalker,-92.88000000000001,-81.4,11.48
113,Mahanthesh0r,Mahanthesh0r/BipedalWalker-RL,-97.78,-58.54,39.24
114,pableitorr,pableitorr/ppo-BipedalWalker-v3,-101.82,-30.43,71.39
115,Aswath24,Aswath24/ppo-BipedalWalker-test,-102.32000000000001,-96.18,6.14
116,MattStammers,MattStammers/Bipedal_Walker_v3_Hardcore_Flat_Optimised,-104.74000000000001,-85.95,18.79
117,YoungMeng,YoungMeng/ppo-BipedalWalker-test,-104.86,-88.41,16.45
118,YoungMeng,YoungMeng/ppo-BipedalWalker,-109.47,-82.48,26.99
119,realdanghuy,realdanghuy/ppo-BipedalWalker-test,-122.06,-86.97,35.09
120,qgallouedec,qgallouedec/ddpg-BipedalWalker-v3-1727241535,-124.22,-119.12,5.1
121,reidmharris,reidmharris/ppo-BipedalWalker-v3,-125.23,-123.79,1.44
122,MadFritz,MadFritz/ars-BipedalWalkerHardcore-v3,-133.32,-97.25,36.07
123,CoderMan-O,CoderMan-O/ppo-BipedalWalker-v3,-144.74,-58.54,86.2
124,kitsonr,kitsonr/ddpg-BipedalWalker-v3,-160.69,-147.05,13.64
